egt_c,cit_c,tbmt_c,brg_c,ics_c,lube_c,amb_c,op_state
507.36,15.35,809.82,82.87,303.53,60.14,9.04,0
531.42,20.22,,,324.87,72.26,19.5,1
512.56,13.51,829.01,72.38,295.76,57.49,17.89,0
656.13,24.94,1084.07,119.27,405.38,99.94,24.54,2
637.39,26.0,1092.64,105.14,393.23,80.0,22.58,2
552.13,24.03,,76.35,325.63,53.55,26.4,0
499.68,19.28,854.98,74.73,279.04,51.15,19.95,0
509.24,31.81,794.51,72.59,286.73,58.76,41.34,0
515.77,16.72,846.2,75.77,294.3,61.86,19.16,0
589.83,23.79,980.0,128.89,358.27,107.05,24.8,2
631.47,22.07,1067.43,105.19,399.63,,20.35,2
517.56,17.29,788.92,58.36,303.02,45.8,15.77,0
539.21,15.61,900.0,93.52,,67.23,15.49,1
581.95,6.51,975.12,93.34,330.39,60.89,9.07,1
524.46,15.61,867.6,72.16,297.5,49.95,12.41,0
563.98,17.46,916.27,92.56,326.67,68.82,20.85,1
624.38,21.02,1045.19,141.34,385.83,113.39,24.8,2
734.41,29.17,1182.91,172.34,440.51,153.66,24.74,3
684.33,23.99,1226.49,115.6,487.39,122.0,34.11,3
562.98,28.02,,84.07,311.77,60.73,27.49,1
504.34,24.17,854.31,74.24,320.87,47.57,25.53,0
534.0,20.64,843.36,71.36,312.79,43.87,23.06,0
514.64,29.68,851.12,88.05,317.67,73.36,29.59,0
524.05,16.31,,74.76,315.34,52.96,18.3,0
584.97,20.27,971.97,91.68,332.38,65.45,22.28,1
502.57,14.83,800.16,86.0,297.95,54.64,9.62,0
529.38,19.74,868.0,80.78,288.74,45.32,23.37,0
517.32,16.53,810.26,54.9,280.55,41.15,17.46,0
610.37,27.64,1035.88,90.0,345.0,80.0,26.62,2
582.1,24.34,979.88,103.39,364.53,83.6,23.58,1
548.38,17.14,847.05,73.7,301.88,50.93,15.83,0
541.1,34.08,879.26,67.71,303.47,48.87,36.4,0
528.86,26.59,829.66,70.78,289.07,,26.96,0
529.44,18.81,861.6,67.74,305.77,50.22,18.18,0
528.49,27.05,842.33,80.42,,69.41,23.92,0
481.07,26.72,785.17,78.78,279.87,56.62,32.21,0
544.45,21.46,904.04,101.07,325.59,79.05,24.47,1
603.79,35.2,1020.0,91.26,386.16,63.72,39.32,1
606.86,34.67,989.99,97.18,361.23,72.33,35.25,1
626.61,32.41,1051.51,125.79,404.78,87.48,34.19,2
559.64,11.62,,107.22,348.39,83.73,10.13,1
566.68,23.79,943.77,86.54,333.56,60.17,20.0,1
641.11,33.27,,141.93,398.17,109.65,32.74,2
645.52,13.36,1090.85,127.96,404.77,92.31,14.03,2
529.02,22.34,834.76,74.82,302.84,52.57,24.95,0
518.43,20.62,836.63,85.93,299.69,43.29,26.41,0
594.11,16.73,1003.84,91.85,345.0,80.0,18.98,2
494.1,16.49,771.47,79.97,286.19,58.98,22.13,0
566.0,33.01,,93.75,340.72,65.68,31.87,1
600.11,15.74,1005.92,75.0,362.69,60.0,14.72,1
576.45,27.56,1006.94,91.67,331.96,63.59,29.45,1
514.82,18.45,784.48,77.78,290.18,65.78,17.23,0
509.59,29.76,830.85,90.25,297.65,64.42,24.76,0
628.24,32.86,1082.61,101.42,,80.0,29.12,2
659.43,34.2,1056.04,113.7,418.36,90.57,30.95,1
583.77,28.71,1020.0,87.01,360.23,70.11,28.74,1
580.0,16.2,980.0,253.2779093227858,358.09,80.0,20.95,2
149.68,10.29,41.43,19.44,-50.0,50.11,22.09,3
608.49,16.73,1020.0,93.22,358.81,60.0,16.16,1
591.2,19.26,991.7,145.43,377.32,107.06,19.29,2
550.57,11.34,,79.12,326.62,44.22,13.85,1
571.48,26.37,900.0,82.91,370.6,60.0,24.8,1
521.35,28.47,859.25,74.82,297.25,51.17,28.67,0
516.58,17.74,864.38,73.97,316.53,57.15,21.69,0
533.74,24.87,887.25,85.92,311.75,64.7,26.99,0
561.78,24.78,890.79,73.42,315.6,50.67,29.91,0
644.54,25.96,1088.66,123.41,394.02,80.0,29.71,2
518.97,28.71,834.48,74.17,320.61,53.01,22.91,0
533.45,24.72,,80.27,321.25,50.47,28.35,0
547.33,13.67,853.57,70.98,303.8,52.31,12.46,0
601.38,21.98,1016.24,116.35,396.02,80.0,20.95,2
523.83,27.09,810.31,73.18,281.67,44.0,30.66,0
510.22,19.66,,,314.62,64.67,14.12,0
563.9,14.7,946.1,96.43,334.51,80.16,10.47,1
515.31,27.22,817.75,83.15,297.01,61.43,20.2,0
544.54,12.0,900.0,83.1,335.93,65.23,14.18,1
520.4,26.96,819.97,74.6,291.31,47.4,29.94,0
504.51,18.85,805.85,76.36,303.32,54.26,20.71,0
535.13,33.45,,85.82,298.41,55.92,37.16,0
526.23,22.76,872.7,82.45,313.34,57.45,21.01,0
666.25,41.33,1117.62,99.34,406.61,80.0,42.42,2
515.48,27.7,830.89,72.19,271.99,55.16,19.89,0
550.54,20.19,882.51,71.73,340.74,63.81,16.78,0
542.59,16.62,872.02,92.43,,70.86,16.39,0
666.9,18.68,1120.0,103.0,393.43,80.0,15.04,2
606.07,17.53,999.02,75.0,,60.0,21.61,1
503.54,6.87,,85.36,,55.45,3.64,0
563.78,25.3,902.06,93.89,318.14,68.91,29.73,1
564.31,28.11,925.58,99.18,350.83,66.02,29.67,1
584.82,45.0,971.02,96.13,312.35,70.85,50.0,1
530.0,28.26,900.0,97.82,329.64,75.63,25.18,1
594.86,29.37,1029.6,108.19,381.0,84.53,24.53,2
508.98,20.53,786.88,77.45,315.59,53.87,13.6,0
-36.04,12.59,218.47,-12.08,33.63,34.24,26.42,3
554.97,32.97,906.88,102.26,,89.66,39.82,1
561.7,34.82,912.99,85.17,358.61,62.66,32.17,1
106.57678346308487,3.54,1035.08,97.23,361.92,80.0,2.59,2
555.9,7.75,913.82,98.33,327.56,66.8,13.58,1
557.37,34.4,917.86,100.93,318.03,72.52,33.27,1
616.07,23.44,1020.0,94.04,364.46,76.3,19.75,1
744.87,22.09,1173.59,130.69,508.04,159.96,20.92,3
623.4,24.19,1051.5,122.99,391.21,80.0,23.73,2
557.21,39.41,931.42,87.41,,72.32,35.84,1
,24.9,828.29,86.79,308.87,66.11,25.96,0
591.67,29.95,993.68,100.74,361.48,60.0,30.13,1
558.65,13.49,,73.81,334.96,48.65,21.63,0
558.85,11.56,861.19,82.29,329.14,70.58,15.77,0
520.64,25.44,,67.6,322.76,48.36,20.34,0
625.56,15.22,1090.13,149.34,381.2,125.0,13.88,2
582.11,27.6,,88.83,349.12,67.78,26.0,1
584.11,21.17,945.33,97.74,325.68,62.41,21.52,2
501.09,24.08,833.33,70.78,299.61,49.32,21.35,0
613.08,26.23,,95.45,349.45,80.0,25.92,2
530.0,7.81,920.1,271.4780772284087,320.15,80.14,2.81,1
664.34,30.89,1120.0,103.42,394.64,83.71,34.13,2
654.19,41.13,1120.0,121.21,371.97,102.05,40.89,2
539.38,11.42,,86.37,311.55,61.6,10.12,0
507.04,28.53,,72.25,297.99,50.87,27.8,0
602.74,13.64,977.47,77.99,365.31,60.0,12.27,1
487.89,13.86,801.4,70.35,,52.49,14.27,0
618.01,17.73,993.05,112.47,348.49,80.0,16.48,2
594.78,17.01,993.31,84.38,339.22,70.46,14.74,1
519.25,26.09,877.88,72.05,296.07,48.95,26.63,0
622.85,21.66,1102.94,91.86,,80.0,22.65,2
502.59,19.85,791.1,81.49,282.07,53.83,18.7,0
515.63,11.35,,70.9,307.48,54.21,16.29,0
636.68,32.09,1096.41,93.63,406.59,80.0,37.3,2
515.75,32.81,,75.03,300.32,54.05,31.56,0
621.27,31.43,1048.3,90.0,391.7,80.0,31.72,2
527.03,28.53,861.71,80.44,307.96,52.54,28.24,0
505.56,25.19,806.27,69.73,,49.52,23.17,0
551.82,26.79,900.97,98.19,316.29,68.39,29.62,1
506.99,37.4,838.49,76.97,293.31,58.24,33.27,0
704.45,32.16,1116.57,,475.55,116.27,26.01,3
610.45,20.32,1098.83,115.09,399.25,81.46,21.9,2
609.14,30.1,1020.0,87.79,370.61,65.74,26.68,1
547.23,23.54,877.45,65.66,314.7,45.72,31.58,0
585.16,29.94,987.15,105.15,358.19,82.14,35.22,1
475.4,19.46,803.29,85.9,270.0,68.24,22.15,0
494.61,27.29,770.88,79.89,270.0,71.18,27.5,0
630.02,34.91,1074.96,90.0,362.01,80.0,34.97,2
498.27,26.12,807.32,60.44,320.02,45.79,32.61,0
565.33,19.2,928.55,72.98,330.44,55.6,16.68,0
521.63,16.97,864.01,85.01,306.39,56.83,13.29,0
545.95,32.9,912.5,89.14,332.67,60.0,37.5,1
505.1,31.8,836.67,72.65,292.0,44.06,29.2,0
575.81,17.38,955.04,84.18,325.25,67.5,14.3,1
642.74,18.64,1120.0,117.42,,80.0,17.03,2
542.76,37.75,900.0,96.47,336.31,73.7,42.42,1
515.83,26.51,,74.18,290.25,56.81,26.97,0
543.92,6.96,909.21,72.88,308.24,47.28,2.03,0
536.95,28.64,847.3,74.79,322.98,48.63,28.54,1
567.62,32.58,900.0,99.74,347.76,80.62,28.99,1
539.39,40.0,,93.4,310.0,70.86,41.0,1
520.7,24.74,864.27,88.35,300.24,58.66,25.3,0
521.88,21.63,846.7,82.09,301.71,63.3,18.3,0
502.05,25.7,801.93,,301.91,54.42,28.99,0
551.64,8.84,860.89,80.35,325.44,60.41,13.34,0
627.15,18.58,1064.18,114.85,345.0,91.18,19.32,3
550.37,30.1,904.57,,311.56,45.28,35.65,0
582.92,18.39,970.68,84.84,340.29,60.0,20.37,1
566.29,10.28,,92.77,373.73,71.02,10.67,1
539.21,27.64,886.3,74.74,305.08,54.61,39.93,0
520.6,10.0,822.01,72.45,319.54,45.86,8.81,0
512.06,20.02,833.75,78.26,292.65,49.27,17.11,0
548.93,17.54,908.79,68.36,314.58,44.49,18.47,0
534.37,14.45,869.09,70.97,309.93,61.06,14.77,0
528.3,30.85,842.02,81.33,316.88,48.44,33.71,0
593.02,26.77,,103.63,383.32,78.25,25.41,1
683.59,17.07,1148.57,178.36,471.77,136.31,18.45,3
519.07,30.06,830.82,66.87,299.25,50.49,35.49,0
639.74,28.09,1052.72,120.38,396.02,102.28,33.56,2
619.11,31.62,1021.65,120.32,409.01,96.99,32.08,2
538.91,31.51,863.92,55.13,318.85,35.36,25.96,0
569.91,24.71,960.0,77.99,346.06,65.38,25.06,1
538.82,33.96,823.83,62.23,328.1,53.28,33.99,0
512.1,19.16,854.57,80.94,299.8,60.53,19.91,0
516.08,15.18,845.95,58.77,306.32,44.06,13.51,0
591.73,23.65,,130.99,,80.0,23.27,3
532.41,13.69,865.08,87.31,305.99,73.34,13.73,0
537.81,25.53,876.79,85.88,328.27,70.57,31.39,0
541.42,19.03,,94.94,319.29,60.66,15.66,0
541.2,14.47,900.0,,310.0,65.58,14.92,1
578.47,21.51,976.6,101.11,364.3,70.12,26.3,1
515.72,25.42,862.94,71.95,315.65,50.69,27.84,1
517.92,18.56,841.67,68.7,,47.83,17.61,0
503.28,8.28,806.54,69.78,293.97,61.32,7.91,0
580.0,36.71,980.0,107.98,345.0,80.0,34.28,2
548.07,35.81,902.82,82.48,310.23,59.74,36.94,0
620.07,41.82,980.0,129.2,383.21,95.61,43.94,2
628.03,25.29,1050.27,102.46,386.87,81.97,29.51,2
674.43,11.97,1086.89,110.38,401.47,92.81,10.93,2
510.19,23.6,840.74,69.07,318.81,39.02,20.83,0
543.27,26.42,947.21,99.07,319.49,66.74,21.25,1
554.99,2.68,900.0,87.4,346.8,74.99,9.3,2
528.09,32.33,830.43,85.33,308.6,60.53,32.83,0
556.86,28.42,912.1,80.8,334.45,50.7,33.68,0
496.53,29.67,800.61,,297.87,57.82,29.85,0
645.15,5.68,1114.87,119.21,368.72,91.59,4.74,2
525.75,20.09,836.52,,297.2,53.61,21.38,0
529.69,26.44,836.11,84.68,288.27,68.04,24.31,0
647.69,21.64,1075.0,131.99,,87.6,24.0,2
644.58,12.83,,111.82,399.05,96.01,17.5,2
580.44,27.41,954.28,90.47,,65.24,23.46,1
659.97,12.5,1120.0,129.27,378.6,89.85,11.94,2
536.61,28.79,843.79,64.57,293.05,47.37,33.81,0
536.05,33.49,915.49,75.21,,57.25,35.45,0
531.58,26.38,801.49,75.85,280.42,63.92,23.46,0
728.53,23.13,1275.66,137.41,442.21,120.37,32.44,3
518.86,10.93,828.38,89.23,292.78,55.31,8.03,0
579.53,27.56,925.04,94.15,352.13,76.06,22.82,1
530.33,19.51,833.91,85.06,300.22,55.99,24.99,0
629.76,19.87,1064.3,128.88,403.09,111.15,23.45,2
592.74,31.17,980.0,102.74,356.27,96.9,34.55,2
585.78,27.29,981.04,79.31,361.47,60.0,29.09,1
644.38,35.8,1087.72,136.75,412.14,104.52,34.83,2
561.92,5.78,970.43,99.81,332.71,78.76,9.02,1
538.25,21.18,825.05,74.13,347.14,52.79,21.55,0
494.88,24.77,791.83,64.11,285.42,47.72,29.99,0
640.24,32.0,,118.89,387.91,94.9,30.46,2
527.5,27.35,871.64,72.96,318.66,57.6,29.9,0
572.75,25.6,946.02,94.83,360.77,75.76,27.94,1
522.14,22.28,77.65648479116787,75.44,,50.42,21.4,0
510.25,33.67,818.78,86.35,315.39,62.69,31.92,0
516.4,34.65,816.76,78.94,289.3,52.97,36.18,0
520.78,10.36,850.38,,312.67,58.93,9.58,0
641.23,27.24,1080.51,124.74,369.99,91.24,34.64,2
503.75,8.22,781.02,66.59,317.57,50.91,6.35,1
510.05,20.27,851.11,74.99,299.85,47.35,16.14,0
503.37,20.5,764.73,59.36,279.89,35.17,22.1,0
500.35,12.35,853.38,72.98,280.59,48.75,9.92,0
529.36,19.21,874.12,68.1,304.41,49.98,25.7,0
622.42,25.45,1073.41,91.08,379.06,80.0,27.46,2
510.55,23.73,821.31,74.58,300.9,53.21,23.23,0
641.96,19.33,1055.23,110.16,406.62,87.42,23.88,2
526.75,25.66,,70.52,,50.28,30.48,0
606.01,26.87,,128.82,360.16,103.98,29.24,2
500.22,31.22,855.17,82.1,290.08,54.37,35.83,0
492.54,22.07,809.06,72.2,303.63,55.92,27.71,0
534.39,12.21,883.38,79.61,307.65,58.11,12.0,0
544.16,25.47,,91.31,338.9,71.98,25.38,1
673.64,18.4,1120.0,128.36,413.47,89.73,18.14,2
483.52,30.74,767.0,76.68,270.0,55.97,30.01,0
552.52,30.35,900.0,90.5,338.74,70.8,34.06,1
530.0,23.56,900.0,105.49,326.68,86.54,17.98,1
507.6,21.69,824.5,73.31,288.61,53.37,21.46,0
538.68,22.17,880.23,79.78,291.95,57.72,22.91,0
596.52,21.53,1017.64,86.14,350.91,60.0,17.76,1
550.66,22.81,913.63,100.75,327.34,79.14,23.14,1
603.07,21.13,1070.37,115.94,357.85,83.74,21.75,2
698.88,37.23,,177.55,508.99,108.36,26.07,2
560.4,36.25,905.35,102.07,364.8,80.07,34.64,1
492.4,31.74,763.72,83.39,314.46,58.62,32.98,0
582.21,22.54,980.0,112.23,371.9,91.11,26.66,2
525.24,21.48,826.12,69.11,286.42,56.03,20.14,1
540.66,24.86,869.31,75.3,295.21,40.65,23.39,0
614.77,27.57,1020.0,85.57,344.21,60.0,33.83,1
603.53,35.27,,,366.73,,38.51,2
604.56,22.42,1088.66,123.65,360.92,88.63,22.37,2
509.33,17.06,827.68,73.7,314.17,59.06,18.9,0
576.13,21.27,945.57,,357.42,71.78,23.38,1
560.85,29.35,914.77,99.41,332.81,77.29,29.44,1
650.33,18.51,,142.33,462.97,132.06,22.14,3
503.16,22.12,842.36,68.39,311.49,45.02,22.79,0
530.31,40.15,843.05,67.75,316.2,44.86,41.09,0
482.93,27.27,,75.65,277.34,60.22,28.85,0
535.57,21.49,877.99,79.97,316.02,59.86,19.69,0
555.38,23.45,900.0,114.9,330.75,81.29,23.62,1
574.2,19.02,947.44,82.34,319.74,60.0,18.47,1
495.38,15.15,777.82,79.4,289.21,61.95,10.37,0
489.67,21.2,840.77,74.13,271.0,57.2,18.58,0
602.52,17.99,979.64,107.22,397.66,79.0,21.42,1
560.21,30.47,933.15,90.85,356.04,66.04,29.12,0
517.68,30.59,850.84,86.56,310.0,61.32,33.1,0
520.32,19.19,816.94,76.0,282.74,46.44,17.62,0
501.71,22.18,792.17,72.77,278.81,51.31,22.97,0
532.98,28.14,913.77,53.36,291.3,36.44,22.25,0
529.5,18.71,834.95,77.74,307.79,58.04,21.15,0
580.88,43.56,939.85,90.88,356.49,71.45,42.96,1
566.74,23.91,900.0,90.69,357.39,61.62,24.31,1
564.76,16.14,1396.6348557420529,91.53,345.55,62.75,18.28,0
595.02,28.58,,81.34,364.29,66.79,26.17,1
708.34,36.77,1076.48,132.02,431.38,85.47,0.3,3
521.47,13.99,829.16,73.88,306.22,47.13,16.95,0
542.68,22.4,835.59,74.96,314.34,36.74,20.94,0
606.83,25.74,1019.65,118.49,345.0,88.8,24.03,2
609.21,26.65,989.41,96.78,375.42,72.8,26.65,1
505.88,12.54,844.08,64.42,294.45,46.08,15.66,0
613.08,37.37,1009.7,145.32,377.5,105.05,41.71,2
531.54,18.46,866.61,73.98,286.17,55.01,21.52,0
635.53,20.57,1084.96,131.69,357.66,92.65,20.28,2
527.41,21.99,841.38,72.67,287.63,42.62,26.57,0
534.16,23.4,1344.3024203257155,62.31,334.72,50.62,22.47,0
596.34,27.83,991.92,92.52,361.73,76.45,26.12,1
559.78,23.18,,,,69.58,24.75,1
504.6,28.98,809.99,85.99,280.24,54.09,30.54,0
755.14,22.55,1206.38,125.55,485.66,144.61,27.96,3
652.38,31.1,1107.1,120.62,393.44,92.1,33.93,2
507.47,17.56,,68.52,294.42,42.1,19.25,0
505.25,17.43,795.18,62.01,304.1,36.68,15.94,0
644.82,18.36,1091.46,118.06,398.83,94.29,19.74,2
558.36,29.66,935.13,72.85,313.59,42.98,31.56,0
550.97,23.67,925.22,67.73,311.05,55.23,24.92,0
611.75,24.73,980.0,105.14,359.61,95.97,24.79,2
625.33,32.17,1022.26,104.85,378.73,80.0,26.17,2
632.51,44.71,1030.29,93.72,393.91,84.95,41.8,2
511.23,19.87,821.82,74.72,291.48,60.0,16.61,0
527.05,17.99,859.22,71.2,303.41,55.11,18.01,0
538.37,38.84,915.05,,310.0,66.75,43.19,0
621.11,24.55,1055.49,121.81,396.27,94.22,29.88,2
525.26,21.97,834.61,,304.14,59.23,19.35,0
572.0,30.61,964.92,104.15,358.11,71.99,25.98,1
587.74,21.19,1011.36,75.0,350.13,60.0,22.29,2
567.82,30.92,918.72,75.0,344.37,60.0,33.41,1
643.95,39.53,51.78796222420207,95.41,402.39,80.0,40.79,2
649.52,41.51,1086.79,119.4,419.71,93.73,41.78,2
529.14,17.12,883.3,74.89,317.08,59.86,18.72,0
543.95,22.96,882.45,89.13,301.6,55.41,21.06,0
558.27,24.18,913.53,88.65,,60.0,23.49,1
507.49,29.29,804.81,73.11,295.57,59.77,26.07,0
536.97,21.11,886.22,73.87,341.69,44.6,21.68,0
601.25,16.3,,84.21,,60.0,12.93,1
531.68,24.52,882.71,74.33,307.5,42.7,20.79,0
563.64,14.58,,94.76,328.5,60.0,14.11,1
565.67,26.7,950.85,86.6,340.96,61.66,27.09,1
586.36,27.69,1005.67,141.67,359.88,86.69,28.42,2
621.04,34.08,1020.51,,372.9,80.0,34.41,2
525.3,22.12,866.66,75.57,290.4,52.45,23.33,0
625.08,35.2,990.55,109.56,372.51,103.93,31.2,2
662.45,21.62,1120.0,236.33316279759933,419.19,80.0,22.84,2
536.03,18.32,834.09,61.34,321.92,51.64,12.69,0
499.32,27.77,803.07,71.4,288.62,50.47,25.33,0
537.57,11.63,900.0,98.42,312.01,66.16,11.18,1
603.67,5.83,989.29,78.11,359.12,60.0,0.78,1
542.49,28.58,889.47,80.29,313.7,68.39,33.02,0
563.83,40.16,947.55,104.5,326.01,73.22,42.07,1
576.22,11.94,900.0,91.87,349.17,70.33,6.94,1
527.92,12.99,822.88,82.4,309.29,55.55,13.48,0
627.38,44.69,1040.5,116.3,374.51,101.26,38.26,2
641.09,12.85,1120.0,111.35,406.17,80.0,15.32,2
569.89,23.13,908.13,87.71,342.63,72.06,25.72,1
493.68,1.18,786.23,80.71,296.23,53.6,-1.98,0
508.53,31.18,827.1,75.5,294.41,63.58,32.88,0
557.52,15.27,894.46,85.71,333.38,64.22,14.86,0
501.96,26.42,830.86,72.75,303.3,44.22,28.08,0
532.98,20.55,863.24,66.04,322.44,47.02,21.34,0
532.13,20.28,843.94,80.35,307.3,54.59,19.48,1
512.04,21.71,814.34,82.41,296.87,60.8,20.12,0
504.28,35.88,807.6,68.21,297.33,55.69,34.58,0
635.18,33.89,1059.25,140.16,381.88,94.05,32.73,2
513.49,29.5,804.91,86.38,305.22,66.94,29.8,0
524.63,29.11,805.28,74.55,287.16,46.99,26.76,0
644.96,31.98,1108.27,108.31,410.2,80.0,30.2,2
571.35,31.19,946.06,75.0,326.28,60.0,28.93,1
541.31,22.17,900.0,80.88,330.87,60.0,23.55,1
583.4,29.78,993.3,93.8,326.45,66.21,31.49,1
609.01,10.25,975.47,86.83,352.35,60.0,12.66,1
519.63,32.4,837.08,75.42,309.05,55.78,32.81,0
569.32,29.72,920.86,,319.16,72.55,30.07,1
662.81,19.75,1120.0,98.85,420.55,80.0,17.22,2
661.67,36.73,1120.0,118.94,400.63,80.0,39.89,2
536.94,14.95,868.95,82.41,304.4,58.73,13.32,0
635.23,33.2,1097.62,117.74,356.12,100.26,32.6,2
552.36,16.71,865.96,66.15,331.13,48.37,16.98,0
645.6,32.76,1102.0,97.37,373.36,80.0,25.23,2
639.61,35.86,1063.01,115.02,372.75,93.84,37.38,2
529.07,6.74,835.83,81.92,316.22,58.4,10.83,0
637.61,19.73,1120.0,100.17,373.03,80.0,19.71,2
525.66,26.07,822.75,73.13,319.38,50.53,26.64,0
483.91,29.99,802.21,246.42611628732058,277.42,53.15,32.35,0
573.21,33.45,906.81,78.79,349.57,72.73,35.44,1
176.08,23.92,269.1,1.23,4.73,14.32,25.07,3
608.06,26.05,1044.96,106.43,380.42,80.0,27.67,2
609.2,14.99,1114.79,119.03,366.79,92.77,16.29,2
650.98,29.05,1108.29,118.74,426.28,94.97,31.71,2
530.0,31.64,900.0,90.53,348.08,60.0,28.89,1
653.71,25.53,1063.86,127.6,408.24,103.94,28.01,2
596.59,23.36,1046.37,106.42,352.41,80.0,24.59,2
490.72,28.55,807.72,69.43,270.0,40.81,23.24,0
597.36,35.44,980.0,105.54,375.85,88.4,40.08,2
521.87,33.94,860.15,66.51,316.58,44.47,36.61,0
613.14,27.36,1061.67,131.06,373.05,85.13,21.36,2
499.64,28.64,,,270.0,46.7,25.17,0
542.25,27.08,961.5,96.99,323.35,65.26,32.99,1
549.2,16.04,858.36,78.48,329.65,51.98,18.08,0
563.41,28.4,900.0,101.8,355.58,86.21,30.24,1
575.37,24.96,942.01,82.42,329.11,66.6,24.03,1
503.1,7.09,775.42,79.02,292.82,55.68,5.44,0
498.35,19.26,769.53,90.26,,56.69,17.6,0
624.23,28.28,1060.38,104.64,398.26,89.81,29.02,2
483.91,21.42,774.09,91.79,284.49,70.46,20.39,0
590.57,34.13,965.38,94.09,343.66,60.26,32.82,1
527.95,14.09,841.76,89.33,293.54,66.69,16.93,0
562.62,20.26,933.81,95.29,341.49,73.64,16.72,1
594.74,34.11,1011.13,138.01,375.5,99.52,35.65,2
735.94,16.32,1165.09,176.04,465.47,112.77,22.82,3
513.94,21.14,797.8,60.21,283.31,54.75,24.82,0
548.71,17.94,,219.88145769611376,340.11,60.2,14.25,1
544.42,20.79,875.13,56.61,308.34,42.63,23.13,0
539.2,34.2,900.0,91.63,314.0,61.21,33.56,1
562.07,21.76,972.74,93.14,327.94,60.0,16.41,1
495.11,30.53,,62.48,295.15,45.97,29.93,0
553.82,9.6,965.48,84.79,325.99,73.29,8.94,1
612.61,38.45,1059.87,106.94,,80.0,38.59,2
514.36,21.75,817.03,67.63,280.81,38.24,18.14,0
498.07,23.48,792.48,79.83,277.25,64.65,24.08,0
527.64,23.29,819.9,78.42,323.39,54.23,21.84,0
588.36,18.3,,92.28,349.26,62.19,20.32,1
541.55,19.4,854.05,78.47,281.74,61.08,17.31,0
611.79,22.5,980.0,108.67,,100.59,24.67,2
185.92,-18.81,61.11,36.66,132.85,25.35,11.95,3
621.81,40.97,1013.49,90.0,375.44,83.43,43.73,2
551.51,16.8,907.73,81.77,331.52,63.93,14.35,0
530.34,23.99,846.27,73.44,304.31,62.64,22.86,0
513.74,18.38,854.9,84.88,294.04,44.54,12.15,0
490.64,20.19,796.68,78.88,274.52,57.83,22.98,0
573.86,30.77,912.94,93.38,361.84,72.73,31.74,1
516.48,31.78,872.21,69.46,297.01,48.54,28.86,0
528.52,9.92,890.16,73.63,,58.08,4.46,0
621.84,12.78,1069.37,106.46,352.23,80.0,10.41,2
588.34,26.05,1020.0,,360.53,71.17,28.67,1
534.49,19.58,850.0,69.49,313.98,43.55,14.37,0
-5.32,12.53,167.81,25.3,-50.0,42.1,34.34,3
541.09,26.06,905.65,81.72,307.45,54.71,24.4,0
580.98,24.01,1005.76,79.23,368.61,60.0,25.43,1
640.88,28.78,1050.65,122.11,433.95,80.0,25.7,2
491.66,17.97,773.36,74.35,275.61,59.29,15.11,0
516.15,12.41,796.02,,300.66,56.11,17.16,0
663.56,17.21,1117.37,109.59,395.18,80.0,16.53,2
598.71,13.69,997.16,127.24,345.0,94.77,16.84,2
574.14,17.92,,99.52,330.2,71.47,21.65,1
519.19,26.67,,82.11,287.02,70.06,32.57,0
530.0,30.5,900.0,75.0,315.83,60.0,22.59,1
609.34,24.42,1026.32,97.4,373.7,86.46,24.08,2
546.55,29.11,860.75,77.1,307.18,67.31,30.34,1
500.26,11.12,792.78,68.52,288.82,43.93,15.09,0
490.67,16.37,792.11,82.26,281.98,60.62,16.12,0
521.25,19.4,868.62,68.58,286.5,,20.79,0
532.25,23.94,881.35,72.54,314.6,40.42,27.81,0
647.95,23.61,1090.7,115.26,387.11,81.18,20.86,2
591.21,14.66,964.05,93.8,366.44,60.0,11.0,1
523.99,18.55,855.02,61.51,,52.62,20.79,0
581.63,24.68,1003.21,82.43,368.81,60.85,22.8,1
495.94,17.33,,82.64,,49.67,14.86,0
573.16,30.59,981.18,89.26,329.55,,35.45,1
635.51,31.39,1044.28,97.08,355.75,80.0,30.44,2
563.79,33.13,944.99,102.45,317.09,80.05,34.99,1
596.38,29.07,,118.04,340.5,89.61,37.48,1
509.12,21.54,820.12,71.19,305.69,57.32,22.93,0
486.46,36.11,773.25,57.75,278.21,46.8,33.42,0
520.87,36.73,829.39,75.15,,47.24,33.18,0
498.84,15.97,815.17,77.32,,46.12,18.85,0
517.93,22.91,842.98,83.93,291.98,62.83,23.45,0
512.32,16.37,865.99,101.21,291.67,73.87,12.69,0
528.76,28.71,824.42,72.89,292.08,55.12,33.4,0
499.75,35.13,804.88,79.62,298.52,54.2,31.18,0
556.04,20.32,903.24,75.17,321.8,50.23,17.41,0
505.89,18.86,835.3,85.11,294.13,56.68,17.84,0
502.57,23.47,798.61,79.91,292.47,57.33,19.91,0
487.16,32.03,,80.42,289.44,59.1,32.7,0
527.25,18.04,856.26,67.96,299.99,48.8,19.47,0
508.38,27.98,803.52,74.12,277.75,41.54,30.25,0
580.85,18.4,937.4,83.4,339.96,62.57,16.27,1
600.88,16.07,993.89,109.51,365.03,79.54,17.04,1
736.59,28.06,1241.41,110.16,464.09,148.34,20.87,3
706.03,25.4,1090.5,143.81,534.68,149.62,22.31,3
570.58,21.66,934.61,90.65,336.2,71.05,23.8,1
536.09,13.87,,70.23,301.5,53.11,14.2,0
637.53,30.33,1039.52,114.72,406.94,80.0,31.46,2
510.14,15.6,860.6,77.57,285.23,55.06,13.23,0
